Extra options: [init.lua]
Measured: 100 times

Total Average: 562.496460 msec
Total Max:     1585.781000 msec
Total Min:     519.953000 msec

   AVERAGE         MAX        MIN
----------------------------------
355.504310  393.805000 349.452000: C:\Users\okr\AppData\Local\nvim\init.lua
 47.755390   54.639000  46.358000: loading packages
 30.665520 1026.239000   0.025000: clearing screen
 30.275560   34.237000  29.354000: loading after plugins
 23.631680   26.871000  22.959000: loading rtp plugins
 18.165780   20.652000  17.514000: sourcing vimrc file(s)
 14.961400   18.276000  14.618000: locale set
  3.883240   26.743000   3.024000: X:\nvim-win64\share\nvim\runtime\syntax\syntax.vim
  3.756000    4.246000   3.509000: reading ShaDa
  2.691210    4.113000   1.621000: opening buffers
  2.552880    4.246000   1.415000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\nvim-treesitter-textobjects\plugin\nvim-treesitter-textobjects.vim
  2.251260    4.354000   1.395000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\symbols-outline.nvim\plugin\symbols-outline.vim
  2.119760    3.331000   2.027000: init lua interpreter
  1.726640    2.923000   1.207000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\nvim-treesitter\plugin\nvim-treesitter.lua
  1.632390    2.462000   1.513000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\nvim-gomove\plugin\gomove.lua
  1.280670    2.975000   0.815000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\nvim-ts-autotag\plugin\nvim-ts-autotag.vim
  1.177240    1.903000   0.707000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\cmp-buffer\after\plugin\cmp_buffer.lua
  1.020150    1.724000   0.574000: BufEnter autocommands
  0.906810    2.112000   0.596000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\nvim-treesitter-refactor\plugin\nvim-treesitter-refactor.vim
  0.833230    1.424000   0.659000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\nvim-cmp\plugin\cmp.lua
  0.820050    2.227000   0.482000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\playground\plugin\nvim-treesitter-playground.lua
  0.809010    1.121000   0.751000: X:\nvim-win64\share\nvim\runtime\plugin\rplugin.vim
  0.764190    0.920000   0.738000: inits 1
  0.752970    3.076000   0.653000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\indent-blankline.nvim\plugin\indent_blankline.vim
  0.743320    1.212000   0.707000: init highlight
  0.729510    1.498000   0.524000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\Comment.nvim\after\plugin\Comment.lua
  0.703870    1.462000   0.363000: C:\Users\okr\AppData\Local\nvim-data\site\pack\paqs\start\telescope.nvim\plugin\telescope.lua
