Extra options: []
Measured: 100 times

Total Average: 331.172950 msec
Total Max:     352.149000 msec
Total Min:     306.252000 msec

   AVERAGE        MAX        MIN
---------------------------------
307.521190 330.974000 284.884000: /home/oli/.config/nvim/init.lua
  3.422020   3.642000   3.276000: loading packages
  2.369060   2.458000   2.306000: reading ShaDa
  2.077570   2.180000   2.017000: loading after plugins
  2.012750   2.855000   1.453000: sourcing vimrc file(s)
  1.737830   1.806000   1.679000: loading rtp plugins
  1.126530   3.355000   0.622000: BufEnter autocommands
  1.070670   3.343000   0.555000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
  1.004860   2.905000   0.531000: opening buffers
  0.856200   1.747000   0.468000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter/plugin/nvim-treesitter.lua
  0.625880   1.865000   0.317000: /home/oli/.local/share/nvim/site/pack/paqs/start/symbols-outline.nvim/plugin/symbols-outline.vim
  0.554460   0.777000   0.359000: init lua interpreter
  0.482870   2.511000   0.221000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
  0.478990   0.907000   0.285000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
  0.465800   0.697000   0.309000: init highlight
  0.389180   0.719000   0.223000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-cmp/plugin/cmp.lua
  0.349130   0.454000   0.331000: /home/oli/.local/share/nvim/runtime/syntax/syntax.vim
  0.328630   2.387000   0.156000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-buffer/after/plugin/cmp_buffer.lua
  0.296410   0.474000   0.223000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-gomove/plugin/gomove.lua
  0.274270   0.382000   0.177000: inits 1
  0.263810   0.517000   0.140000: /home/oli/.local/share/nvim/site/pack/paqs/start/playground/plugin/nvim-treesitter-playground.lua
  0.229890   0.545000   0.123000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope.nvim/plugin/telescope.lua
  0.202600   0.389000   0.115000: /home/oli/.local/share/nvim/site/pack/paqs/start/Comment.nvim/after/plugin/Comment.lua
  0.201010   0.367000   0.159000: /home/oli/.local/share/nvim/site/pack/paqs/start/indent-blankline.nvim/plugin/indent_blankline.vim
  0.193030   0.258000   0.124000: locale set
  0.187260   0.372000   0.105000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textsubjects/plugin/nvim-treesitter-textsubjects.vim
  0.168260   0.358000   0.087000: /home/oli/.local/share/nvim/site/pack/paqs/start/leap.nvim/plugin/init.lua
  0.153220   0.238000   0.142000: /home/oli/.local/share/nvim/site/pack/paqs/start/LuaSnip/plugin/luasnip.vim
  0.150440   0.426000   0.076000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
  0.140270   0.461000   0.066000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-path/after/plugin/cmp_path.lua
  0.131330   1.773000   0.058000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp-document-symbol/after/plugin/cmp_nvim_lsp_document_symbol.lua
  0.114560   0.285000   0.057000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
  0.114290   2.125000   0.054000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lspconfig/plugin/lspconfig.vim
  0.099120   0.112000   0.096000: /home/oli/.local/share/nvim/runtime/plugin/matchparen.vim
  0.094840   0.102000   0.091000: /home/oli/.local/share/nvim/site/pack/paqs/start/registers.nvim/plugin/registers.vim
  0.092760   0.104000   0.090000: /home/oli/.local/share/nvim/runtime/plugin/rplugin.vim
  0.067260   0.159000   0.039000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-dap/plugin/dap.lua
  0.062900   0.149000   0.056000: /home/oli/.local/share/nvim/runtime/syntax/synload.vim
  0.062610   0.075000   0.059000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
  0.057590   0.134000   0.036000: /home/oli/.local/share/nvim/site/pack/paqs/start/hydra.nvim/plugin/hydra.lua
  0.051430   0.128000   0.028000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
  0.051260   0.150000   0.037000: /home/oli/.local/share/nvim/site/pack/paqs/start/dressing.nvim/plugin/dressing.lua
  0.046760   0.060000   0.035000: /home/oli/.local/share/nvim/runtime/ftplugin.vim
  0.043600   0.140000   0.032000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
  0.042590   0.071000   0.038000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-hlslens/plugin/hlslens.vim
  0.042170   0.050000   0.040000: /home/oli/.local/share/nvim/site/pack/paqs/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
  0.041530   0.050000   0.039000: /home/oli/.local/share/nvim/runtime/plugin/shada.vim
  0.038980   0.056000   0.027000: expanding arguments
  0.037830   0.050000   0.036000: /home/oli/.local/share/nvim/site/pack/paqs/start/statusline.lua/plugin/statusline.vim
  0.037140   0.105000   0.019000: /home/oli/.local/share/nvim/runtime/filetype.lua
  0.036810   0.047000   0.034000: /home/oli/.local/share/nvim/site/pack/paqs/start/trouble.nvim/plugin/trouble.vim
  0.035760   0.048000   0.026000: inits 2
  0.032930   0.053000   0.022000: /home/oli/.local/share/nvim/site/pack/paqs/start/filetype.nvim/filetype.vim
  0.031470   0.059000   0.021000: init default autocommands
  0.026690   0.036000   0.025000: /home/oli/.local/share/nvim/runtime/plugin/man.vim
  0.026600   0.036000   0.024000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
  0.025910   0.034000   0.025000: /home/oli/.local/share/nvim/site/pack/paqs/start/editorconfig.nvim/plugin/editorconfig.vim
  0.025600   0.047000   0.018000: /home/oli/.local/share/nvim/runtime/indent.vim
  0.024870   0.034000   0.023000: /home/oli/.local/share/nvim/site/pack/paqs/start/plenary.nvim/plugin/plenary.vim
  0.024690   0.047000   0.017000: init default mappings
  0.023230   0.035000   0.022000: /home/oli/.local/share/nvim/site/pack/paqs/start/neo-tree.nvim/plugin/neo-tree.vim
  0.021890   0.028000   0.021000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-colorizer.lua/plugin/colorizer.vim
  0.018360   0.023000   0.018000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope-frecency.nvim/plugin/frecency.vim
  0.018290   0.022000   0.017000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-regexplainer/plugin/nvim-regexplainer.vim
  0.017450   0.020000   0.015000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-jdtls/plugin/nvim_jdtls.vim
  0.017320   0.024000   0.015000: /home/oli/.local/share/nvim/site/pack/paqs/start/todo-comments.nvim/plugin/todo.vim
  0.015020   0.024000   0.014000: /home/oli/.local/share/nvim/site/pack/paqs/start/lsp-zero.nvim/plugin/lsp-zero.vim
  0.013280   0.014000   0.012000: clearing screen
  0.011600   0.027000   0.007000: window checked
  0.011560   0.013000   0.011000: /home/oli/.local/share/nvim/runtime/filetype.vim
  0.011090   0.013000   0.011000: /home/oli/.local/share/nvim/runtime/plugin/netrwPlugin.vim
  0.011090   0.016000   0.010000: /home/oli/.local/share/nvim/runtime/plugin/gzip.vim
  0.010850   0.014000   0.010000: /home/oli/.local/share/nvim/runtime/plugin/tutor.vim
  0.010170   0.023000   0.009000: /home/oli/.local/share/nvim/site/pack/paqs/start/rust-tools.nvim/plugin/rust-tools.vim
  0.010040   0.013000   0.009000: /home/oli/.local/share/nvim/runtime/plugin/tarPlugin.vim
  0.010020   0.013000   0.009000: /home/oli/.local/share/nvim/runtime/plugin/zipPlugin.vim
  0.008590   0.010000   0.008000: inits 3
  0.007350   0.010000   0.007000: /home/oli/.local/share/nvim/runtime/plugin/matchit.vim
  0.007160   0.020000   0.006000: /home/oli/.local/share/nvim/runtime/plugin/tohtml.vim
  0.007110   0.013000   0.007000: /home/oli/.local/share/nvim/runtime/plugin/spellfile.vim
  0.006290   0.012000   0.003000: --- NVIM STARTING ---
  0.006090   0.008000   0.006000: /home/oli/.local/share/nvim/rplugin.vim
  0.006030   0.008000   0.006000: /home/oli/.local/share/nvim/runtime/plugin/health.vim
  0.003740   0.005000   0.002000: parsing arguments
  0.002520   0.004000   0.002000: editing files in windows
