Extra options: [init.lua]
Measured: 100 times

Total Average: 376.647480 msec
Total Max:     525.463000 msec
Total Min:     326.733000 msec

   AVERAGE        MAX        MIN
---------------------------------
351.036030 495.908000 302.524000: /home/oli/.config/nvim/init.lua
  3.742540   5.409000   3.379000: loading packages
  2.315700   3.534000   2.103000: loading after plugins
  2.157970   3.112000   1.969000: reading ShaDa
  1.926810   2.824000   1.760000: loading rtp plugins
  1.732090   2.865000   1.497000: sourcing vimrc file(s)
  1.463530   5.282000   0.632000: BufEnter autocommands
  1.242990   4.378000   0.628000: opening buffers
  1.236160   3.062000   0.580000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
  0.976180   2.051000   0.492000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter/plugin/nvim-treesitter.lua
  0.798470   4.448000   0.336000: /home/oli/.local/share/nvim/site/pack/paqs/start/symbols-outline.nvim/plugin/symbols-outline.vim
  0.556210   2.669000   0.281000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
  0.536990   1.617000   0.253000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
  0.469820   1.465000   0.245000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-cmp/plugin/cmp.lua
  0.452370   0.770000   0.365000: init lua interpreter
  0.410070   1.413000   0.167000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-buffer/after/plugin/cmp_buffer.lua
  0.386820   0.582000   0.346000: /home/oli/.local/share/nvim/runtime/syntax/syntax.vim
  0.370270   0.665000   0.313000: init highlight
  0.336400   0.943000   0.233000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-gomove/plugin/gomove.lua
  0.313920   0.957000   0.101000: /home/oli/.local/share/nvim/site/pack/paqs/start/playground/plugin/nvim-treesitter-playground.lua
  0.288870   0.811000   0.140000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope.nvim/plugin/telescope.lua
  0.261680   3.093000   0.162000: /home/oli/.local/share/nvim/site/pack/paqs/start/indent-blankline.nvim/plugin/indent_blankline.vim
  0.246690   0.701000   0.119000: /home/oli/.local/share/nvim/site/pack/paqs/start/Comment.nvim/after/plugin/Comment.lua
  0.237170   0.375000   0.184000: inits 1
  0.217510   0.467000   0.103000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textsubjects/plugin/nvim-treesitter-textsubjects.vim
  0.212330   2.398000   0.075000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-path/after/plugin/cmp_path.lua
  0.186570   0.619000   0.083000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
  0.169360   0.275000   0.143000: /home/oli/.local/share/nvim/site/pack/paqs/start/LuaSnip/plugin/luasnip.vim
  0.164370   0.266000   0.115000: locale set
  0.148910   0.499000   0.062000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp-document-symbol/after/plugin/cmp_nvim_lsp_document_symbol.lua
  0.148160   0.376000   0.079000: /home/oli/.local/share/nvim/site/pack/paqs/start/leap.nvim/plugin/init.lua
  0.131150   0.386000   0.059000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
  0.106800   0.237000   0.057000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lspconfig/plugin/lspconfig.vim
  0.105320   0.154000   0.092000: /home/oli/.local/share/nvim/site/pack/paqs/start/registers.nvim/plugin/registers.vim
  0.103450   0.158000   0.094000: /home/oli/.local/share/nvim/runtime/plugin/matchparen.vim
  0.101260   0.176000   0.091000: /home/oli/.local/share/nvim/runtime/plugin/rplugin.vim
  0.083850   0.352000   0.041000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-dap/plugin/dap.lua
  0.070640   0.114000   0.062000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
  0.070380   0.107000   0.059000: /home/oli/.local/share/nvim/runtime/syntax/synload.vim
  0.070220   0.243000   0.038000: /home/oli/.local/share/nvim/site/pack/paqs/start/hydra.nvim/plugin/hydra.lua
  0.065360   0.244000   0.029000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
  0.057890   0.191000   0.034000: /home/oli/.local/share/nvim/site/pack/paqs/start/dressing.nvim/plugin/dressing.lua
  0.054230   0.172000   0.031000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
  0.050080   0.115000   0.040000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-hlslens/plugin/hlslens.vim
  0.049010   0.073000   0.043000: /home/oli/.local/share/nvim/runtime/plugin/shada.vim
  0.045760   0.077000   0.041000: /home/oli/.local/share/nvim/site/pack/paqs/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
  0.044620   0.219000   0.020000: /home/oli/.local/share/nvim/runtime/filetype.lua
  0.043640   0.071000   0.036000: /home/oli/.local/share/nvim/runtime/ftplugin.vim
  0.041980   0.060000   0.038000: /home/oli/.local/share/nvim/site/pack/paqs/start/statusline.lua/plugin/statusline.vim
  0.041860   0.085000   0.035000: /home/oli/.local/share/nvim/site/pack/paqs/start/trouble.nvim/plugin/trouble.vim
  0.040470   0.077000   0.022000: /home/oli/.local/share/nvim/site/pack/paqs/start/filetype.nvim/filetype.vim
  0.037150   0.060000   0.026000: expanding arguments
  0.033490   0.068000   0.024000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
  0.033420   0.063000   0.026000: inits 2
  0.031720   0.074000   0.025000: /home/oli/.local/share/nvim/runtime/plugin/man.vim
  0.031040   0.063000   0.024000: /home/oli/.local/share/nvim/site/pack/paqs/start/plenary.nvim/plugin/plenary.vim
  0.028660   0.049000   0.025000: /home/oli/.local/share/nvim/site/pack/paqs/start/editorconfig.nvim/plugin/editorconfig.vim
  0.027780   0.045000   0.019000: init default autocommands
  0.027310   0.055000   0.021000: parsing arguments
  0.025100   0.114000   0.022000: /home/oli/.local/share/nvim/site/pack/paqs/start/neo-tree.nvim/plugin/neo-tree.vim
  0.024740   0.054000   0.021000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-colorizer.lua/plugin/colorizer.vim
  0.023080   0.040000   0.019000: /home/oli/.local/share/nvim/runtime/indent.vim
  0.021220   0.036000   0.017000: init default mappings
  0.021000   0.033000   0.018000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-regexplainer/plugin/nvim-regexplainer.vim
  0.020850   0.043000   0.018000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope-frecency.nvim/plugin/frecency.vim
  0.019810   0.037000   0.016000: /home/oli/.local/share/nvim/site/pack/paqs/start/todo-comments.nvim/plugin/todo.vim
  0.018630   0.029000   0.016000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-jdtls/plugin/nvim_jdtls.vim
  0.015910   0.023000   0.014000: /home/oli/.local/share/nvim/site/pack/paqs/start/lsp-zero.nvim/plugin/lsp-zero.vim
