Extra options: [init.lua]
Measured: 100 times

Total Average: 97.488750 msec
Total Max:     111.248000 msec
Total Min:     94.869000 msec

  AVERAGE       MAX       MIN
------------------------------
75.355390 86.656000 72.668000: /home/oli/.config/nvim/init.lua
 3.416710  3.574000  3.249000: loading packages
 2.133420  2.279000  2.055000: loading after plugins
 2.091000  2.219000  1.998000: reading ShaDa
 1.788310  1.904000  1.737000: loading rtp plugins
 1.732340  2.847000  1.459000: sourcing vimrc file(s)
 1.199860  1.783000  0.539000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
 1.004380  1.341000  0.492000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter/plugin/nvim-treesitter.lua
 0.743370  1.097000  0.532000: opening buffers
 0.676750  0.764000  0.583000: BufEnter autocommands
 0.564690  0.856000  0.296000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
 0.526980  1.152000  0.302000: /home/oli/.local/share/nvim/site/pack/paqs/start/symbols-outline.nvim/plugin/symbols-outline.vim
 0.489000  0.852000  0.187000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
 0.484390  0.811000  0.347000: init lua interpreter
 0.447400  0.888000  0.193000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-cmp/plugin/cmp.lua
 0.404220  0.678000  0.307000: init highlight
 0.348490  0.411000  0.337000: /home/oli/.local/share/nvim/runtime/syntax/syntax.vim
 0.327990  0.417000  0.247000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-gomove/plugin/gomove.lua
 0.266720  0.482000  0.131000: /home/oli/.local/share/nvim/site/pack/paqs/start/playground/plugin/nvim-treesitter-playground.lua
 0.245100  0.441000  0.174000: inits 1
 0.230410  0.414000  0.117000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textsubjects/plugin/nvim-treesitter-textsubjects.vim
 0.222010  0.447000  0.154000: /home/oli/.local/share/nvim/site/pack/paqs/start/indent-blankline.nvim/plugin/indent_blankline.vim
 0.197580  0.408000  0.114000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope.nvim/plugin/telescope.lua
 0.172600  0.565000  0.135000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-buffer/after/plugin/cmp_buffer.lua
 0.165840  0.270000  0.116000: locale set
 0.154880  0.290000  0.108000: /home/oli/.local/share/nvim/site/pack/paqs/start/Comment.nvim/after/plugin/Comment.lua
 0.150640  0.199000  0.139000: /home/oli/.local/share/nvim/site/pack/paqs/start/LuaSnip/plugin/luasnip.vim
 0.145920  0.310000  0.074000: /home/oli/.local/share/nvim/site/pack/paqs/start/leap.nvim/plugin/init.lua
 0.107540  0.216000  0.052000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
 0.104520  0.287000  0.050000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lspconfig/plugin/lspconfig.vim
 0.095370  0.162000  0.091000: /home/oli/.local/share/nvim/site/pack/paqs/start/registers.nvim/plugin/registers.vim
 0.094000  0.118000  0.090000: /home/oli/.local/share/nvim/runtime/plugin/rplugin.vim
 0.088430  0.316000  0.039000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-dap/plugin/dap.lua
 0.082530  0.269000  0.065000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
 0.075960  0.224000  0.062000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-path/after/plugin/cmp_path.lua
 0.072460  0.376000  0.034000: /home/oli/.local/share/nvim/site/pack/paqs/start/hydra.nvim/plugin/hydra.lua
 0.070640  0.210000  0.055000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp-document-symbol/after/plugin/cmp_nvim_lsp_document_symbol.lua
 0.062860  0.068000  0.061000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
 0.061500  0.070000  0.058000: /home/oli/.local/share/nvim/runtime/syntax/synload.vim
 0.046000  0.102000  0.028000: /home/oli/.local/share/nvim/site/pack/paqs/start/dressing.nvim/plugin/dressing.lua
 0.045770  0.264000  0.018000: /home/oli/.local/share/nvim/runtime/filetype.lua
 0.043050  0.089000  0.037000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-hlslens/plugin/hlslens.vim
 0.040870  0.049000  0.040000: /home/oli/.local/share/nvim/site/pack/paqs/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
 0.040710  0.059000  0.033000: /home/oli/.local/share/nvim/runtime/ftplugin.vim
 0.040020  0.070000  0.038000: /home/oli/.local/share/nvim/runtime/plugin/shada.vim
 0.037310  0.057000  0.036000: /home/oli/.local/share/nvim/site/pack/paqs/start/statusline.lua/plugin/statusline.vim
 0.036560  0.162000  0.027000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
 0.034650  0.040000  0.033000: /home/oli/.local/share/nvim/site/pack/paqs/start/trouble.nvim/plugin/trouble.vim
 0.032850  0.059000  0.029000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
 0.032690  0.053000  0.024000: inits 2
 0.032500  0.055000  0.023000: expanding arguments
 0.027800  0.088000  0.019000: parsing arguments
 0.027210  0.060000  0.024000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
 0.026570  0.044000  0.025000: /home/oli/.local/share/nvim/site/pack/paqs/start/editorconfig.nvim/plugin/editorconfig.vim
 0.025990  0.034000  0.024000: /home/oli/.local/share/nvim/site/pack/paqs/start/plenary.nvim/plugin/plenary.vim
 0.025080  0.033000  0.023000: /home/oli/.local/share/nvim/runtime/plugin/man.vim
 0.025040  0.060000  0.023000: /home/oli/.local/share/nvim/site/pack/paqs/start/neo-tree.nvim/plugin/neo-tree.vim
 0.023710  0.042000  0.019000: /home/oli/.local/share/nvim/runtime/indent.vim
 0.023010  0.038000  0.016000: init default autocommands
 0.022880  0.035000  0.020000: /home/oli/.local/share/nvim/site/pack/paqs/start/filetype.nvim/filetype.vim
 0.022250  0.043000  0.021000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-colorizer.lua/plugin/colorizer.vim
 0.020220  0.043000  0.016000: init default mappings
 0.018500  0.021000  0.018000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope-frecency.nvim/plugin/frecency.vim
 0.017240  0.020000  0.016000: /home/oli/.local/share/nvim/site/pack/paqs/start/todo-comments.nvim/plugin/todo.vim
 0.016900  0.025000  0.016000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-jdtls/plugin/nvim_jdtls.vim
 0.013620  0.018000  0.013000: clearing screen
 0.012240  0.016000  0.012000: /home/oli/Workspace/lsp-zero.nvim/plugin/lsp-zero.vim
 0.011470  0.026000  0.010000: /home/oli/.local/share/nvim/runtime/filetype.vim
 0.011100  0.013000  0.011000: /home/oli/.local/share/nvim/runtime/plugin/netrwPlugin.vim
 0.011050  0.015000  0.010000: /home/oli/.local/share/nvim/runtime/plugin/tutor.vim
 0.010840  0.013000  0.010000: /home/oli/.local/share/nvim/runtime/plugin/gzip.vim
 0.010130  0.013000  0.009000: /home/oli/.local/share/nvim/site/pack/paqs/start/rust-tools.nvim/plugin/rust-tools.vim
 0.010020  0.011000  0.010000: /home/oli/.local/share/nvim/runtime/plugin/zipPlugin.vim
 0.010010  0.011000  0.009000: /home/oli/.local/share/nvim/runtime/plugin/tarPlugin.vim
 0.009410  0.020000  0.007000: window checked
 0.008830  0.029000  0.008000: inits 3
 0.008060  0.011000  0.008000: /home/oli/.local/share/nvim/runtime/plugin/matchparen.vim
 0.007330  0.010000  0.007000: /home/oli/.local/share/nvim/runtime/plugin/matchit.vim
 0.007110  0.025000  0.006000: /home/oli/.local/share/nvim/runtime/plugin/tohtml.vim
 0.007020  0.008000  0.007000: /home/oli/.local/share/nvim/runtime/plugin/spellfile.vim
 0.006140  0.009000  0.006000: /home/oli/.local/share/nvim/runtime/plugin/health.vim
 0.006120  0.008000  0.006000: /home/oli/.local/share/nvim/rplugin.vim
 0.005380  0.012000  0.003000: --- NVIM STARTING ---
 0.003260  0.070000  0.002000: editing files in windows
