Extra options: [init.lua]
Measured: 100 times

Total Average: 236.690490 msec
Total Max:     400.304000 msec
Total Min:     195.247000 msec

   AVERAGE        MAX        MIN
---------------------------------
169.968420 290.092000 139.875000: /home/oli/.config/nvim/init.lua
 13.974000  28.363000  11.460000: loading packages
  6.835580  12.380000   5.336000: loading after plugins
  5.466760   8.905000   4.366000: loading rtp plugins
  4.679380   7.926000   3.542000: sourcing vimrc file(s)
  4.340620   8.601000   3.439000: /usr/share/nvim/runtime/filetype.lua
  2.982450   8.741000   2.265000: reading ShaDa
  2.655790   5.275000   1.801000: opening buffers
  2.251370   5.856000   1.530000: BufEnter autocommands
  1.618660   3.966000   1.083000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
  1.420820   4.173000   1.004000: /home/oli/.config/nvim/filetype.lua
  1.237190   3.538000   0.824000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter/plugin/nvim-treesitter.lua
  1.045070   2.595000   0.822000: /usr/share/nvim/runtime/syntax/syntax.vim
  0.891420   2.410000   0.610000: /home/oli/.local/share/nvim/site/pack/paqs/start/symbols-outline.nvim/plugin/symbols-outline.vim
  0.832830   2.767000   0.435000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-cmp/plugin/cmp.lua
  0.821020   1.894000   0.597000: /usr/share/vim/vimfiles/plugin/skim.vim
  0.798470   2.223000   0.518000: /home/oli/.local/share/nvim/site/pack/plugins/start/kommentary/plugin/kommentary.vim
  0.740630   2.029000   0.543000: init lua interpreter
  0.683750   1.961000   0.490000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-gomove/plugin/gomove.lua
  0.614360   2.907000   0.361000: /home/oli/.local/share/nvim/site/pack/paqs/start/indent-blankline.nvim/plugin/indent_blankline.vim
  0.598100   2.327000   0.300000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
  0.587120   2.415000   0.276000: /home/oli/.local/share/nvim/site/pack/plugins/start/lsp-colors.nvim/plugin/lsp-colors.vim
  0.530920   1.721000   0.290000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
  0.524870   1.722000   0.220000: /home/oli/.local/share/nvim/site/pack/paqs/start/leap.nvim/plugin/init.lua
  0.513220   1.815000   0.303000: /home/oli/.local/share/nvim/site/pack/paqs/start/Comment.nvim/after/plugin/Comment.lua
  0.453430   1.854000   0.215000: /home/oli/.local/share/nvim/site/pack/paqs/start/playground/plugin/nvim-treesitter-playground.lua
  0.427410   1.438000   0.301000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-buffer/after/plugin/cmp_buffer.lua
  0.422150   0.948000   0.326000: /home/oli/.local/share/nvim/site/pack/plugins/start/hop.nvim/plugin/hop.vim
  0.417700   2.051000   0.194000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope.nvim/plugin/telescope.lua
  0.411170   0.789000   0.297000: /home/oli/.local/share/nvim/site/pack/plugins/start/completion-nvim/plugin/completion.vim
  0.408660   1.568000   0.306000: inits 1
  0.402360   1.614000   0.274000: /home/oli/.local/share/nvim/site/pack/paqs/start/LuaSnip/plugin/luasnip.vim
  0.382820   1.461000   0.161000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
  0.335740   1.025000   0.261000: init highlight
  0.318870   1.911000   0.122000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textsubjects/plugin/nvim-treesitter-textsubjects.vim
  0.281680   1.020000   0.190000: /usr/share/nvim/runtime/plugin/rplugin.vim
  0.241690   0.796000   0.170000: /home/oli/.local/share/nvim/site/pack/paqs/start/registers.nvim/plugin/registers.vim
  0.233550   1.115000   0.142000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
  0.223740   0.835000   0.088000: /home/oli/.local/share/nvim/site/pack/plugins/start/playground/plugin/nvim-treesitter-playground.vim
  0.211190   0.833000   0.133000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-path/after/plugin/cmp_path.lua
  0.199070   0.710000   0.101000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
  0.197310   0.894000   0.083000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-dap/plugin/dap.lua
  0.189950   0.854000   0.125000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp-document-symbol/after/plugin/cmp_nvim_lsp_document_symbol.lua
  0.189230   0.571000   0.138000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
  0.168640   0.697000   0.105000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lspconfig/plugin/lspconfig.vim
  0.156820   0.670000   0.112000: /usr/share/nvim/runtime/syntax/synload.vim
  0.144780   0.461000   0.083000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-hlslens/plugin/hlslens.vim
  0.142880   0.632000   0.069000: /home/oli/.local/share/nvim/site/pack/paqs/start/dressing.nvim/plugin/dressing.lua
  0.142150   0.399000   0.112000: event init
  0.140790   0.590000   0.072000: /usr/share/nvim/runtime/ftplugin.vim
  0.140150   0.659000   0.076000: /home/oli/.local/share/nvim/site/pack/paqs/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
  0.125350   0.626000   0.078000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
  0.121020   0.507000   0.069000: /home/oli/.local/share/nvim/site/pack/paqs/start/hydra.nvim/plugin/hydra.lua
  0.118740   0.457000   0.076000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-lsputils/plugin/nvim-lsputils.vim
  0.118720   0.369000   0.078000: /usr/share/nvim/runtime/plugin/shada.vim
  0.115230   0.321000   0.087000: early init
  0.113220   0.887000   0.072000: /home/oli/.local/share/nvim/site/pack/paqs/start/statusline.lua/plugin/statusline.vim
  0.112250   0.355000   0.072000: /home/oli/.local/share/nvim/site/pack/paqs/start/trouble.nvim/plugin/trouble.vim
  0.106310   0.414000   0.067000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
  0.102860   0.379000   0.063000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
  0.101030   1.148000   0.059000: /usr/share/nvim/runtime/plugin/man.vim
  0.085390   0.325000   0.052000: /home/oli/.local/share/nvim/site/pack/paqs/start/editorconfig.nvim/plugin/editorconfig.vim
  0.082080   0.363000   0.039000: /usr/share/nvim/runtime/indent.vim
  0.080080   0.470000   0.056000: /home/oli/.local/share/nvim/site/pack/paqs/start/lush.nvim/plugin/lush.vim
  0.078310   0.371000   0.055000: /home/oli/.local/share/nvim/site/pack/paqs/start/plenary.nvim/plugin/plenary.vim
  0.078270   0.282000   0.050000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-colorizer.lua/plugin/colorizer.vim
  0.075640   0.300000   0.050000: /home/oli/.local/share/nvim/site/pack/plugins/start/popfix/plugin/popfix.vim
  0.075340   0.483000   0.045000: /etc/xdg/nvim/sysinit.vim
  0.075220   0.317000   0.052000: /home/oli/.local/share/nvim/site/pack/plugins/start/plenary.nvim/plugin/plenary.vim
  0.074660   0.326000   0.043000: expanding arguments
  0.071840   0.439000   0.045000: /home/oli/.local/share/nvim/site/pack/paqs/start/neo-tree.nvim/plugin/neo-tree.vim
  0.070970   0.239000   0.051000: locale set
  0.065390   0.219000   0.043000: parsing arguments
  0.064380   0.273000   0.042000: /usr/share/vim/vimfiles/plugin/black.vim
  0.063050   0.446000   0.033000: /home/oli/.local/share/nvim/site/pack/paqs/start/lsp-zero.nvim/plugin/lsp-zero.vim
  0.061610   0.323000   0.041000: /home/oli/.local/share/nvim/site/pack/paqs/start/todo-comments.nvim/plugin/todo.vim
  0.059760   0.457000   0.036000: init first window
  0.058260   0.164000   0.041000: inits 2
  0.057180   0.191000   0.039000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope-frecency.nvim/plugin/frecency.vim
  0.056520   0.276000   0.039000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-jdtls/plugin/nvim_jdtls.vim
  0.051460   0.183000   0.021000: /usr/share/nvim/runtime/plugin/gzip.vim
  0.049720   0.424000   0.028000: clearing screen
  0.045950   0.245000   0.031000: /usr/share/vim/vimfiles/ftdetect/meson.vim
  0.044510   0.263000   0.023000: /usr/share/nvim/runtime/plugin/netrwPlugin.vim
  0.041720   0.226000   0.020000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-colorizer.lua/plugin/colorizer.vim
  0.039560   0.266000   0.025000: /usr/share/nvim/runtime/plugin/tutor.vim
  0.039150   0.120000   0.026000: /home/oli/.local/share/nvim/site/pack/plugins/start/telescope.nvim/plugin/telescope.vim
  0.039030   0.127000   0.028000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/query.vim
  0.036830   0.294000   0.024000: /home/oli/.local/share/nvim/site/pack/paqs/start/rust-tools.nvim/plugin/rust-tools.vim
  0.035770   0.256000   0.023000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/hcl.vim
  0.034040   0.172000   0.021000: /usr/share/nvim/runtime/filetype.vim
  0.033930   0.605000   0.021000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/graphql.vim
  0.033530   0.200000   0.019000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
  0.032710   0.164000   0.022000: /usr/share/nvim/runtime/plugin/zipPlugin.vim
  0.032640   0.131000   0.021000: /home/oli/.local/share/nvim/site/pack/plugins/start/which-key.nvim/plugin/which-key.vim
  0.032400   0.124000   0.021000: /usr/share/nvim/runtime/plugin/tarPlugin.vim
  0.031890   0.205000   0.017000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/cooklang.vim
  0.030590   0.234000   0.020000: inits 3
  0.029750   0.211000   0.018000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/plugin/nvim-treesitter.vim
  0.027400   0.153000   0.019000: init default mappings
  0.027320   0.156000   0.017000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-lspconfig/plugin/lspconfig.vim
  0.026630   0.113000   0.018000: /usr/share/nvim/runtime/plugin/matchit.vim
  0.026430   0.131000   0.018000: /usr/share/nvim/runtime/plugin/matchparen.vim
  0.026210   0.091000   0.020000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/ledger.vim
  0.026160   0.086000   0.018000: init default autocommands
  0.025710   0.053000   0.020000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/gdresource.vim
  0.025570   0.083000   0.019000: /home/oli/.local/share/nvim/site/pack/paqs/start/LuaSnip/ftdetect/snippets.vim
  0.025370   0.198000   0.018000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/hack.vim
  0.025200   0.078000   0.015000: /usr/share/nvim/runtime/plugin/health.vim
  0.024940   0.079000   0.019000: /home/oli/.local/share/nvim/site/pack/paqs/start/editorconfig.nvim/ftdetect/editorconfig.vim
  0.023540   0.404000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/teal.vim
  0.023540   0.120000   0.016000: /usr/share/nvim/runtime/plugin/spellfile.vim
  0.023360   0.149000   0.014000: /usr/share/nvim/archlinux.vim
  0.022730   0.229000   0.015000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/surface.vim
  0.022600   0.080000   0.015000: window checked
  0.022550   0.193000   0.015000: /usr/share/nvim/runtime/plugin/tohtml.vim
  0.021970   0.088000   0.016000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/ql.vim
  0.020280   0.057000   0.015000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/fusion.vim
  0.020210   0.073000   0.013000: /home/oli/.local/share/nvim/rplugin.vim
  0.019480   0.064000   0.015000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/gdscript.vim
  0.019360   0.061000   0.015000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/gowork.vim
  0.019260   0.061000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/hjson.vim
  0.019140   0.060000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/yang.vim
  0.018990   0.136000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/glsl.vim
  0.018840   0.069000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/json5.vim
  0.018830   0.060000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/pug.vim
  0.018770   0.049000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/tlaplus.vim
  0.018720   0.053000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/prisma.vim
  0.018070   0.061000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/nix.vim
  0.017990   0.066000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/glimmer.vim
  0.017850   0.044000   0.014000: /home/oli/.local/share/nvim/site/pack/plugins/start/nvim-treesitter/ftdetect/heex.vim
  0.013040   0.236000   0.005000: editing files in windows
  0.012080   0.028000   0.009000: --- NVIM STARTING ---
