Extra options: [init.lua]
Measured: 100 times

Total Average: 1850.736090 msec
Total Max:     1969.983000 msec
Total Min:     1821.947000 msec

    AVERAGE         MAX         MIN
------------------------------------
1006.310160 1006.838000 1006.138000: clearing screen
 802.751960  911.582000  775.461000: /home/oli/.config/nvim/init.lua
   7.836060   11.880000    7.161000: loading packages
   4.288070    6.452000    3.935000: loading after plugins
   3.741050    5.754000    3.373000: loading rtp plugins
   3.100560    4.513000    2.869000: reading ShaDa
   2.885810    4.400000    2.659000: sourcing vimrc file(s)
   2.410220    4.000000    1.840000: opening buffers
   1.840350    3.263000    1.641000: /usr/share/nvim/runtime/filetype.lua
   1.337860    2.431000    1.042000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
   1.102050    1.896000    0.954000: /home/oli/.config/nvim/filetype.lua
   0.973060    1.637000    0.748000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter/plugin/nvim-treesitter.lua
   0.759020    1.349000    0.553000: BufEnter autocommands
   0.751850    1.337000    0.675000: /usr/share/nvim/runtime/syntax/syntax.vim
   0.667290    1.229000    0.579000: /home/oli/.local/share/nvim/site/pack/paqs/start/symbols-outline.nvim/plugin/symbols-outline.vim
   0.650380    1.114000    0.576000: /usr/share/vim/vimfiles/plugin/skim.vim
   0.611960    0.926000    0.559000: init lua interpreter
   0.602680    1.008000    0.434000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-cmp/plugin/cmp.lua
   0.565550    0.906000    0.470000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-gomove/plugin/gomove.lua
   0.441350    0.998000    0.319000: /home/oli/.local/share/nvim/site/pack/paqs/start/indent-blankline.nvim/plugin/indent_blankline.vim
   0.391140    0.647000    0.258000: /home/oli/.local/share/nvim/site/pack/paqs/start/leap.nvim/plugin/init.lua
   0.371630    0.687000    0.275000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
   0.353460    1.047000    0.215000: /home/oli/.local/share/nvim/site/pack/paqs/start/playground/plugin/nvim-treesitter-playground.lua
   0.335070    0.519000    0.302000: inits 1
   0.331190    0.686000    0.187000: /home/oli/.local/share/nvim/site/pack/paqs/start/telescope.nvim/plugin/telescope.lua
   0.308770    0.680000    0.205000: /home/oli/.local/share/nvim/site/pack/paqs/start/Comment.nvim/after/plugin/Comment.lua
   0.304500    0.576000    0.263000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-buffer/after/plugin/cmp_buffer.lua
   0.289440    0.392000    0.267000: init highlight
   0.288850    0.471000    0.257000: /home/oli/.local/share/nvim/site/pack/paqs/start/LuaSnip/plugin/luasnip.vim
   0.267110    0.720000    0.140000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
   0.206530    0.400000    0.113000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-treesitter-textsubjects/plugin/nvim-treesitter-textsubjects.vim
   0.202800    0.353000    0.181000: /usr/share/nvim/runtime/plugin/rplugin.vim
   0.187210    0.360000    0.163000: /home/oli/.local/share/nvim/site/pack/paqs/start/registers.nvim/plugin/registers.vim
   0.167000    0.342000    0.129000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
   0.150500    0.349000    0.099000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
   0.145620    0.307000    0.118000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-path/after/plugin/cmp_path.lua
   0.143760    0.260000    0.123000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
   0.141360    0.339000    0.111000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp-document-symbol/after/plugin/cmp_nvim_lsp_document_symbol.lua
   0.138520    0.320000    0.082000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-dap/plugin/dap.lua
   0.134770    0.333000    0.102000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-lspconfig/plugin/lspconfig.vim
   0.133200    0.274000    0.116000: /usr/share/nvim/runtime/syntax/synload.vim
   0.120360    0.165000    0.107000: event init
   0.097450    0.206000    0.085000: early init
   0.095100    0.239000    0.077000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-hlslens/plugin/hlslens.vim
   0.086370    0.262000    0.068000: /home/oli/.local/share/nvim/site/pack/paqs/start/hydra.nvim/plugin/hydra.lua
   0.085730    0.174000    0.070000: /home/oli/.local/share/nvim/site/pack/paqs/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
   0.082690    0.155000    0.075000: /usr/share/nvim/runtime/plugin/shada.vim
   0.079840    0.149000    0.071000: /home/oli/.local/share/nvim/site/pack/paqs/start/trouble.nvim/plugin/trouble.vim
   0.079290    0.198000    0.060000: /home/oli/.local/share/nvim/site/pack/paqs/start/dressing.nvim/plugin/dressing.lua
   0.076630    0.177000    0.064000: /usr/share/nvim/runtime/ftplugin.vim
   0.075240    0.156000    0.057000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
   0.073600    0.148000    0.061000: /home/oli/.local/share/nvim/site/pack/paqs/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
   0.071170    0.204000    0.056000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
   0.064820    0.121000    0.055000: /usr/share/nvim/runtime/plugin/man.vim
   0.060320    0.132000    0.051000: /home/oli/.local/share/nvim/site/pack/paqs/start/plenary.nvim/plugin/plenary.vim
   0.059760    0.188000    0.050000: /home/oli/.local/share/nvim/site/pack/paqs/start/editorconfig.nvim/plugin/editorconfig.vim
   0.059360    0.106000    0.053000: /home/oli/.local/share/nvim/site/pack/paqs/start/lush.nvim/plugin/lush.vim
   0.055910    0.125000    0.049000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-colorizer.lua/plugin/colorizer.vim
   0.053740    0.084000    0.047000: locale set
   0.052100    0.256000    0.044000: parsing arguments
   0.051790    0.083000    0.045000: /etc/xdg/nvim/sysinit.vim
   0.050950    0.246000    0.043000: /home/oli/.local/share/nvim/site/pack/paqs/start/neo-tree.nvim/plugin/neo-tree.vim
   0.050490    0.086000    0.044000: expanding arguments
   0.047710    0.076000    0.040000: inits 2
   0.047330    0.092000    0.041000: /home/oli/.local/share/nvim/site/pack/paqs/start/todo-comments.nvim/plugin/todo.vim
   0.045090    0.081000    0.040000: /usr/share/vim/vimfiles/plugin/black.vim
   0.044210    0.070000    0.033000: init first window
   0.043190    0.105000    0.038000: /usr/share/nvim/runtime/indent.vim
   0.042190    0.085000    0.037000: /home/oli/.local/share/nvim/site/pack/paqs/start/nvim-jdtls/plugin/nvim_jdtls.vim
   0.038530    0.097000    0.034000: /usr/share/vim/vimfiles/ftdetect/meson.vim
   0.037170    0.076000    0.031000: /home/oli/.local/share/nvim/site/pack/paqs/start/lsp-zero.nvim/plugin/lsp-zero.vim
   0.028740    0.060000    0.023000: /usr/share/nvim/runtime/plugin/netrwPlugin.vim
   0.026970    0.090000    0.024000: /usr/share/nvim/runtime/plugin/tutor.vim
   0.025430    0.237000    0.021000: /usr/share/nvim/runtime/plugin/zipPlugin.vim
   0.024940    0.052000    0.019000: /usr/share/nvim/runtime/plugin/gzip.vim
   0.024930    0.047000    0.022000: /home/oli/.local/share/nvim/site/pack/paqs/start/rust-tools.nvim/plugin/rust-tools.vim
   0.024220    0.040000    0.021000: /usr/share/nvim/runtime/filetype.vim
   0.023370    0.041000    0.019000: /home/oli/.local/share/nvim/site/pack/paqs/start/LuaSnip/ftdetect/snippets.vim
   0.022450    0.067000    0.020000: /usr/share/nvim/runtime/plugin/tarPlugin.vim
   0.021630    0.036000    0.019000: init default mappings
   0.021550    0.043000    0.019000: inits 3
   0.020880    0.038000    0.018000: /home/oli/.local/share/nvim/site/pack/paqs/start/editorconfig.nvim/ftdetect/editorconfig.vim
   0.020190    0.036000    0.018000: init default autocommands
   0.018600    0.033000    0.016000: /usr/share/nvim/runtime/plugin/matchit.vim
   0.018000    0.033000    0.015000: window checked
   0.017820    0.073000    0.015000: /usr/share/nvim/runtime/plugin/matchparen.vim
   0.016460    0.030000    0.014000: /usr/share/nvim/runtime/plugin/health.vim
   0.015920    0.032000    0.014000: /usr/share/nvim/runtime/plugin/spellfile.vim
   0.015430    0.029000    0.014000: /usr/share/nvim/runtime/plugin/tohtml.vim
   0.015110    0.026000    0.013000: /usr/share/nvim/archlinux.vim
   0.013520    0.026000    0.012000: /home/oli/.local/share/nvim/rplugin.vim
   0.010160    0.014000    0.009000: --- NVIM STARTING ---
   0.006420    0.019000    0.005000: editing files in windows
